Measure 2 Condition:
0. +1: 334  +2: 68  +3: 56  +4: 45  +5: 45  +6: 44  +7: 43  +8: 41  +9: 41  +10: 41  +11: 42  +12: 41  +13: 40  +14: 43  +15: 40  +16: 42  +17: 41  +18: 42  +19: 42  +20: 41  -1: 53  -2: 50  -3: 48  -4: 47  -5: 46  -6: 46  -7: 45  -8: 45  -9: 44  -10: 44  -11: 44  -12: 44  -13: 43  -14: 43  -15: 43  -16: 43  -17: 43  -18: 42  -19: 42  -20: 42  
21. +1: 112708  +2: 112430  +3: 112417  +4: 112406  +5: 112405  +6: 112404  +7: 112404  +8: 112402  +9: 112399  +10: 112402  +11: 112403  +12: 112401  +13: 112400  +14: 112402  +15: 112400  +16: 112401  +17: 112401  +18: 112402  +19: 112401  +20: 112401  -1: 112412  -2: 112409  -3: 112407  -4: 112406  -5: 112404  -6: 112404  -7: 112404  -8: 112404  -9: 112404  -10: 112403  -11: 112402  -12: 112403  -13: 112403  -14: 112403  -15: 112402  -16: 112401  -17: 112402  -18: 112400  -19: 112402  -20: 112401  
22. +1: 117713  +2: 117434  +3: 117422  +4: 117410  +5: 117410  +6: 117409  +7: 117407  +8: 117407  +9: 117404  +10: 117407  +11: 117407  +12: 117406  +13: 117405  +14: 117407  +15: 117405  +16: 117406  +17: 117406  +18: 117407  +19: 117406  +20: 117405  -1: 117417  -2: 117414  -3: 117411  -4: 117411  -5: 117409  -6: 117409  -7: 117409  -8: 117409  -9: 117409  -10: 117408  -11: 117407  -12: 117408  -13: 117407  -14: 117407  -15: 117407  -16: 117406  -17: 117407  -18: 117405  -19: 117406  -20: 117406  
23. +1: 122585  +2: 122307  +3: 122294  +4: 122282  +5: 122283  +6: 122282  +7: 122280  +8: 122279  +9: 122277  +10: 122280  +11: 122280  +12: 122279  +13: 122278  +14: 122280  +15: 122277  +16: 122279  +17: 122278  +18: 122279  +19: 122279  +20: 122278  -1: 122290  -2: 122286  -3: 122284  -4: 122283  -5: 122282  -6: 122282  -7: 122282  -8: 122281  -9: 122282  -10: 122281  -11: 122280  -12: 122281  -13: 122280  -14: 122280  -15: 122279  -16: 122279  -17: 122280  -18: 122277  -19: 122279  -20: 122279  
24. +1: 127226  +2: 126948  +3: 126935  +4: 126923  +5: 126923  +6: 126923  +7: 126920  +8: 126920  +9: 126918  +10: 126921  +11: 126921  +12: 126920  +13: 126919  +14: 126921  +15: 126918  +16: 126920  +17: 126919  +18: 126920  +19: 126920  +20: 126919  -1: 126931  -2: 126927  -3: 126925  -4: 126924  -5: 126923  -6: 126922  -7: 126922  -8: 126922  -9: 126922  -10: 126921  -11: 126921  -12: 126921  -13: 126921  -14: 126921  -15: 126920  -16: 126919  -17: 126920  -18: 126917  -19: 126920  -20: 126919  
25. +1: 131960  +2: 131681  +3: 131669  +4: 131657  +5: 131657  +6: 131656  +7: 131654  +8: 131653  +9: 131651  +10: 131654  +11: 131654  +12: 131653  +13: 131652  +14: 131654  +15: 131651  +16: 131653  +17: 131653  +18: 131654  +19: 131653  +20: 131652  -1: 131664  -2: 131661  -3: 131658  -4: 131658  -5: 131656  -6: 131656  -7: 131655  -8: 131655  -9: 131656  -10: 131654  -11: 131654  -12: 131655  -13: 131654  -14: 131654  -15: 131654  -16: 131652  -17: 131654  -18: 131651  -19: 131653  -20: 131653  
26. +1: 136635  +2: 136357  +3: 136344  +4: 136332  +5: 136332  +6: 136331  +7: 136329  +8: 136328  +9: 136326  +10: 136329  +11: 136330  +12: 136328  +13: 136328  +14: 136329  +15: 136327  +16: 136328  +17: 136328  +18: 136329  +19: 136328  +20: 136328  -1: 136339  -2: 136336  -3: 136333  -4: 136333  -5: 136331  -6: 136331  -7: 136331  -8: 136331  -9: 136331  -10: 136329  -11: 136329  -12: 136330  -13: 136330  -14: 136330  -15: 136329  -16: 136328  -17: 136329  -18: 136326  -19: 136328  -20: 136328  
27. +1: 141393  +2: 141115  +3: 141102  +4: 141090  +5: 141090  +6: 141089  +7: 141087  +8: 141086  +9: 141084  +10: 141087  +11: 141088  +12: 141086  +13: 141086  +14: 141088  +15: 141085  +16: 141086  +17: 141086  +18: 141087  +19: 141086  +20: 141086  -1: 141098  -2: 141094  -3: 141091  -4: 141091  -5: 141089  -6: 141089  -7: 141088  -8: 141089  -9: 141088  -10: 141087  -11: 141087  -12: 141088  -13: 141088  -14: 141088  -15: 141087  -16: 141086  -17: 141087  -18: 141084  -19: 141086  -20: 141086  
28. +1: 146281  +2: 146003  +3: 145990  +4: 145978  +5: 145978  +6: 145978  +7: 145975  +8: 145974  +9: 145972  +10: 145975  +11: 145976  +12: 145974  +13: 145974  +14: 145976  +15: 145973  +16: 145974  +17: 145974  +18: 145975  +19: 145974  +20: 145974  -1: 145985  -2: 145982  -3: 145979  -4: 145979  -5: 145977  -6: 145977  -7: 145976  -8: 145977  -9: 145976  -10: 145975  -11: 145975  -12: 145976  -13: 145976  -14: 145976  -15: 145975  -16: 145974  -17: 145975  -18: 145972  -19: 145974  -20: 145974  
29. +1: 151158  +2: 150879  +3: 150867  +4: 150855  +5: 150855  +6: 150854  +7: 150852  +8: 150851  +9: 150849  +10: 150852  +11: 150852  +12: 150851  +13: 150850  +14: 150852  +15: 150849  +16: 150851  +17: 150850  +18: 150851  +19: 150851  +20: 150850  -1: 150862  -2: 150859  -3: 150856  -4: 150856  -5: 150854  -6: 150854  -7: 150853  -8: 150853  -9: 150852  -10: 150852  -11: 150852  -12: 150853  -13: 150852  -14: 150852  -15: 150851  -16: 150851  -17: 150851  -18: 150849  -19: 150851  -20: 150851  
Measure 4 Condition:
0. +1: 136  +2: 81  +3: 15  +4: 11  +5: 9  +6: 5  +7: 3  +8: 8  +9: 1  +10: 1  +11: 2  +12: 4  +13: 1  +14: 1  +15: 1  +16: 0  +17: 4  +18: 3  +19: 3  +20: 2  -1: 21  -2: 18  -3: 15  -4: 13  -5: 11  -6: 10  -7: 9  -8: 7  -9: 7  -10: 6  -11: 5  -12: 4  -13: 4  -14: 3  -15: 2  -16: 2  -17: 2  -18: 1  -19: 1  -20: 1  
1. +1: 3076  +2: 3033  +3: 3028  +4: 2986  +5: 3055  +6: 3033  +7: 3065  +8: 3040  +9: 3147  +10: 3087  +11: 3146  +12: 3139  +13: 3202  +14: 3207  +15: 3215  +16: 3328  +17: 3257  +18: 3338  +19: 3299  +20: 3402  -1: 2930  -2: 2912  -3: 3012  -4: 2990  -5: 2966  -6: 3045  -7: 2995  -8: 3117  -9: 3085  -10: 3171  -11: 3062  -12: 3193  -13: 3199  -14: 3181  -15: 3241  -16: 3263  -17: 3289  -18: 3315  -19: 3373  -20: 3403  
2. +1: 5997  +2: 6002  +3: 6009  +4: 6011  +5: 6085  +6: 6112  +7: 6148  +8: 6096  +9: 6295  +10: 6236  +11: 6321  +12: 6266  +13: 6392  +14: 6406  +15: 6500  +16: 6640  +17: 6591  +18: 6659  +19: 6635  +20: 6816  -1: 5897  -2: 5841  -3: 5970  -4: 5996  -5: 6001  -6: 6044  -7: 6040  -8: 6209  -9: 6208  -10: 6322  -11: 6103  -12: 6343  -13: 6397  -14: 6416  -15: 6506  -16: 6554  -17: 6631  -18: 6639  -19: 6772  -20: 6853  
